,Unnamed: 0,Title,Address,Longitude,Latitude,행정동,geometry,x,y
11,11,베이커리머그카페,충남 천안시 동남구 화령길 4-11 1동 1~2층,127.1663524,36.81033401,원성1동,POINT (970239.728136957 1868069.341034588),970239.728136957,1868069.341034588
12,12,랜드마크 195,충남 천안시 동남구 유량로 195,127.1798708,36.8130684,원성1동,POINT (971446.5442376898 1868368.545540024),971446.5442376898,1868368.545540024
13,13,도시커피,충남 천안시 동남구 통정10로 7-1,127.1292382,36.77500703,신방동,POINT (966914.0625867316 1864162.711133271),966914.0625867316,1864162.711133271
14,14,숲속의문,충남 천안시 동남구 양지말2길 61 1층,127.1860679,36.81222119,원성1동,POINT (971998.9785447433 1868272.7316867772),971998.9785447433,1868272.7316867772
15,15,그레이츄,충남 천안시 서북구 오성7길 42,127.1325608,36.83219142,부성2동,POINT (967234.9361841088 1870505.044888561),967234.9361841088,1870505.044888561
16,16,핀스커피,충남 천안시 동남구 해솔1길 27-29,127.1772496,36.79054924,청룡동,POINT (971204.3197307148 1865871.2800832305),971204.3197307148,1865871.2800832305
17,17,알롱지,충남 천안시 동남구 풍세면 용두2길 39-1 1~2층,127.1240805,36.74444785,풍세면,POINT (966440.4885745216 1860774.5939282472),966440.4885745216,1860774.5939282472
18,18,투닷츠,충남 천안시 서북구 불당30길 7-7 1층,127.10384,36.81037232,불당2동,POINT (964663.8213401858 1868094.868605047),964663.8213401858,1868094.868605047
19,19,코끼리공장,충남 천안시 동남구 목천읍 동평1길 1-8 1층,127.2319998,36.77062217,목천읍,POINT (976082.9341574018 1863645.6986094422),976082.9341574018,1863645.6986094422
20,20,동민목장,충남 천안시 서북구 성환읍 왕림길 154,127.1097859,36.91906012,성환읍,POINT (965243.4416215493 1880149.5827482878),965243.4416215493,1880149.5827482878
21,21,키키키린카페,충남 천안시 동남구 천안천9길 50 1층,127.1567492,36.82120678,신안동,POINT (969387.4813153782 1869278.4931613968),969387.4813153782,1869278.4931613968
22,22,타마르카페,충남 천안시 동남구 공고담길 43-6 1층,127.1573982,36.81661666,신안동,POINT (969443.5373401132 1868769.1015715036),969443.5373401132,1868769.1015715036
23,23,카페앙프,충남 천안시 동남구 천안천변길 139,127.1251761,36.78240169,신방동,POINT (966554.7815370766 1864984.41122917),966554.7815370766,1864984.41122917
24,24,카페목천,충남 천안시 동남구 목천읍 충절로 986-37 1층,127.2219259,36.77404652,목천읍,POINT (975185.0136190653 1864028.1241812678),975185.0136190653,1864028.1241812678
25,25,루가밀팩토리,충남 천안시 동남구 천안천9길 20 1층,127.1538106,36.81953284,신안동,POINT (969124.7315580039 1869093.7472311237),969124.7315580039,1869093.7472311237
26,26,할리우드 카페,충남 천안시 동남구 유량로 185 1동 1층 101호,127.1783593,36.81235862,원성1동,POINT (971311.4629541169 1868290.2619008042),971311.4629541169,1868290.2619008042
27,27,배나무숲,충남 천안시 서북구 직산읍 상덕로 137,127.120571,36.879579,직산읍,POINT (966186.6652629222 1875765.985410854),966186.6652629222,1875765.985410854
28,28,공각,충남 천안시 서북구 불당30길 4 1층,127.1029133,36.81073041,불당2동,POINT (964581.3273034416 1868134.9345430245),964581.3273034416,1868134.9345430245
29,29,뚜아에무아 카페 앤 레스토랑,"충남 천안시 동남구 북면 위례성로 1434-2 1,2동 1층",127.2753272,36.88073054,북면,POINT (979978.3033321269 1875850.0939505682),979978.3033321269,1875850.0939505682
30,30,애월빵 공장 천안,충남 천안시 서북구 성성5로 95 브이티스퀘어 비동 지층 112~118호,127.1325661,36.84440573,부성2동,POINT (967240.6185297281 1871859.9871277888),967240.6185297281,1871859.9871277888
31,31,카페온담,"충남 천안시 동남구 통세골2길 41 1,2층",127.19431,36.80488,신방동,POINT (972731.5274605945 1867455.990715825),972731.5274605945,1867455.990715825
32,32,멜버른커피하우스,충남 천안시 서북구 불당34길 3-16 세븐타워 1층,127.105567,36.80624127,불당2동,POINT (964815.9746446774 1867635.9727309013),964815.9746446774,1867635.9727309013
33,33,OCT,충남 천안시 서북구 불당29길 11-5 1층,127.1020553,36.81004144,불당2동,POINT (964504.4784513331 1868058.824927835),964504.4784513331,1868058.824927835
34,34,라비앙,충남 천안시 동남구 먹거리8길 16-3 1층,127.1549246,36.81716337,신안동,POINT (969223.1364718456 1868830.5417316563),969223.1364718456,1868830.5417316563
35,35,메종드엠,충남 천안시 동남구 양지말1길 11-12,127.1869669,36.81586576,원성1동,POINT (972080.4882342479 1868676.7618362226),972080.4882342479,1868676.7618362226
36,36,본태커피하우스,충남 천안시 서북구 성환읍 매주4길 30,127.127664,36.9123555,성환읍,POINT (966832.9559586599 1879399.4582041157),966832.9559586599,1879399.4582041157
37,37,소셜스낵,충남 천안시 동남구 먹거리3길 21 2층,127.1553111,36.8171197,신안동,POINT (969257.5905997468 1868825.5730548971),969257.5905997468,1868825.5730548971
38,38,히트커피로스터스,충남 천안시 동남구 통정4로 67 1층,127.1362206,36.77378048,신방동,POINT (967536.6412782439 1864024.2591528874),967536.6412782439,1864024.2591528874
39,39,커피동경,충남 천안시 동남구 태조산길 264 커피동경,127.1884834,36.82071511,원성1동,POINT (972217.4984571162 1869214.260009075),972217.4984571162,1869214.260009075
40,40,시스터즈,충남 천안시 서북구 불당16길 1,127.1061454,36.80024719,불당1동,POINT (964864.8308097434 1866970.8349018074),964864.8308097434,1866970.8349018074
41,41,카페디331,충남 천안시 동남구 청수15길 35,127.1539088,36.78865551,청룡동,POINT (969121.0946162494 1865668.4883195201),969121.0946162494,1865668.4883195201
